,date,movieNm,audiAcc
0,20190724,나랏말싸미,171349
1,20190724,라이온 킹,2733566
2,20190724,알라딘,11157273
3,20190724,명탐정 코난: 감청의 권,58712
4,20190724,스파이더맨: 파 프롬 홈,7639023
5,20190724,롱 샷,54721
6,20190724,엑시트,12317
7,20190724,토이 스토리 4,3317361
8,20190724,난폭한 기록,10030
9,20190724,기생충,10019288
10,20190717,라이온 킹,307370
11,20190717,스파이더맨: 파 프롬 홈,6973148
12,20190717,알라딘,10382113
13,20190717,토이 스토리 4,3202691
14,20190717,사일런스,9552
15,20190717,기생충,9958723
16,20190717,진범,133241
17,20190717,기방도령,263920
18,20190717,미드소마,61564
19,20190717,애나벨 집으로,467734
20,20190710,스파이더맨: 파 프롬 홈,5215557
21,20190710,알라딘,9464272
22,20190710,기방도령,66655
23,20190710,토이 스토리 4,2882804
24,20190710,기생충,9838633
25,20190710,진범,17747
26,20190710,존 윅 3: 파라벨룸,888304
27,20190710,애나벨 집으로,424184
28,20190710,천로역정: 천국을 찾아서,235277
29,20190710,레드슈즈,2458
30,20190703,스파이더맨: 파 프롬 홈,1235818
31,20190703,알라딘,8535582
32,20190703,토이 스토리 4,2393954
33,20190703,기생충,9662346
34,20190703,존 윅 3: 파라벨룸,769822
35,20190703,애나벨 집으로,335324
36,20190703,롱 리브 더 킹: 목포 영웅,1057051
37,20190703,BIFAN2019 판타스틱 단편 걸작선 1,15500
38,20190703,천로역정: 천국을 찾아서,207230
39,20190703,비스트,194522
40,20190626,알라딘,7248747
41,20190626,토이 스토리 4,1471253
42,20190626,존 윅 3: 파라벨룸,206200
43,20190626,애나벨 집으로,78559
44,20190626,기생충,9302496
45,20190626,비스트,62757
46,20190626,롱 리브 더 킹: 목포 영웅,856678
47,20190626,마담 싸이코,13462
48,20190626,천로역정: 천국을 찾아서,160514
49,20190626,맨 인 블랙: 인터내셔널,834093
50,20190619,알라딘,5726196
51,20190619,롱 리브 더 킹: 목포 영웅,134610
52,20190619,기생충,8642613
53,20190619,맨 인 블랙: 인터내셔널,745998
54,20190619,천로역정: 천국을 찾아서,100247
55,20190619,세상을 바꾼 변호인,24912
56,20190619,엑스맨: 다크 피닉스,857451
57,20190619,이웃집 토토로,149037
58,20190619,업사이드,39503
59,20190619,존 윅 3: 파라벨룸,3769
